split_date,Unnamed: 0,learning_rate,epochs,n_steps_in,early_stopping,smoothing,kernel_size,filters,pool_size,layers,dense_units,differencing,features,metric60,time60,parameter60,epochs60
2022-06-01,56265,0.01,200,60,True,10,5,64,4,2,30,True,FCS,0.04704511,6.234813,34858.0,22.0
2022-07-01,34585,0.001,200,60,True,10,2,64,6,2,30,True,FCS,0.07191551,8.84135,18154.0,36.0
2022-08-01,33230,0.001,200,60,True,10,5,64,6,1,30,True,FCS,0.06432424,8.572598,25834.0,42.0
2022-09-01,31705,0.001,200,60,True,10,2,64,6,2,30,True,FCS,0.0806907,8.359444,18154.0,32.0
2022-10-01,30265,0.001,200,60,True,10,2,64,6,2,30,True,FCS,0.060261767,4.7256784,18154.0,15.0
2022-11-01,28825,0.001,200,60,True,10,2,64,6,2,30,True,FCS,0.043474246,6.9977446,18154.0,28.0
2022-12-01,47665,0.01,200,60,True,10,5,128,6,2,30,True,FCS,0.06708763,5.5162563,97386.0,14.0
2023-01-01,46167,0.01,200,60,True,10,2,256,6,2,30,True,economics,0.07168292,5.0228853,184298.0,7.0
2023-02-01,5032,0.0001,200,180,True,10,15,256,6,1,30,True,economics,0.060525484,47.993652,474346.0,44.0
2023-03-01,3497,0.0001,200,180,True,10,10,256,4,2,30,True,economics,0.04254818,49.31807,912362.0,29.0
2023-04-01,2057,0.0001,200,180,True,10,10,256,4,2,30,True,economics,0.053069577,49.122086,912362.0,29.0
2023-05-01,20185,0.001,200,60,True,10,2,64,6,2,30,True,FCS,0.026649253,5.770479,18154.0,18.0
