split_date,Unnamed: 0,learning_rate,epochs,n_steps_in,early_stopping,smoothing,kernel_size,filters,pool_size,layers,dense_units,differencing,features,metric30,metric60,metric90,time30,time60,time90,parameter30,parameter60,parameter90,epochs30,epochs60,epochs90
2022-06-01,675100,0.01,200,60,True,10,5,64,2,4,30,False,FCS,0.0969502478837966,0.0995085909962654,0.1128780990839004,5.057473182678223,5.502969741821289,6.201511383056641,96906.0,117366.0,137826.0,6.0,5.0,8.0
2022-07-01,662241,0.01,200,180,True,10,5,64,4,3,50,False,FCS+,0.0940661504864692,0.0822366997599601,0.097534142434597,14.136892318725586,10.316939353942873,13.154088973999023,105582.0,139242.0,172902.0,23.0,15.0,18.0
2022-08-01,642266,0.01,200,60,True,10,10,256,2,1,50,True,FCS+,0.0276164021342992,0.0389227382838726,0.0566652305424213,13.52090835571289,9.517101287841797,8.16672134399414,586926.0,620586.0,654246.0,19.0,8.0,8.0
2022-09-01,382886,0.001,200,60,True,10,10,128,4,3,50,True,FCS+,0.0359691940248012,0.0551410019397735,0.0707557052373886,15.376686096191406,8.070564270019531,9.833459854125977,452654.0,486314.0,519974.0,19.0,7.0,10.0
2022-10-01,612478,0.01,200,180,True,10,15,64,2,4,50,True,climate,0.0476914383471012,0.123651884496212,0.0877049788832664,18.526880264282227,20.09214782714844,33.002655029296875,425646.0,459306.0,492966.0,5.0,10.0,17.0
2022-11-01,58783,0.01,200,60,True,10,2,64,6,3,30,True,FCS,0.0300144292414188,0.0417007245123386,0.0416493937373161,7.31469202041626,8.409713745117188,8.409972190856934,41802.0,62262.0,82722.0,13.0,14.0,15.0
2022-12-01,572796,0.01,200,60,True,10,10,128,2,2,20,True,FCS+,0.0223844982683658,0.0318766124546527,0.0426447875797748,19.0207633972168,14.10480499267578,12.821476936340332,300856.0,314716.0,328576.0,16.0,8.0,12.0
2023-01-01,555516,0.01,200,60,True,10,10,128,2,2,20,True,FCS+,0.0306241419166326,0.0404687337577343,0.0432153455913066,17.780231475830078,10.067667007446287,9.858363151550291,300856.0,314716.0,328576.0,16.0,8.0,9.0
2023-02-01,54030,0.01,200,180,True,10,2,64,6,3,20,True,FCS,0.0314552672207355,0.0367592461407184,0.0513132289052009,8.794469833374023,9.13558578491211,6.55044412612915,34552.0,48412.0,62272.0,14.0,15.0,7.0
2023-03-01,52240,0.01,200,60,True,10,15,256,2,2,30,True,FCS,0.0230656582862138,0.0642241910099983,0.0781321376562118,63.30755233764648,51.5370979309082,19.96744155883789,1203722.0,1224182.0,1244642.0,26.0,26.0,9.0
2023-04-01,50574,0.01,200,180,True,10,2,64,6,3,20,True,FCS,0.0731176361441612,0.059519350528717,0.0560897216200828,8.150596618652344,6.746835708618164,12.244661331176758,34552.0,48412.0,62272.0,11.0,7.0,18.0
2023-05-01,48784,0.01,200,60,True,10,15,256,2,2,30,True,FCS,0.0736378878355026,0.1031506061553955,0.0970065146684646,51.107666015625,22.93941116333008,22.67510032653809,1203722.0,1224182.0,1244642.0,25.0,9.0,10.0
